# 180000000000000.0
lam, flux
0.01, 0.0
0.015, 0.0
0.02, 0.0
0.03, 0.0
0.04, 0.0
0.05, 0.0
0.06, 0.0
0.08, 0.0
0.1, 0.0
0.1047, 0.0
0.1095, 0.0
0.1147, 0.0
0.12, 0.0
0.1269, 0.0
0.1342, 0.0
0.1419, 0.0
0.15, 0.0
0.1612, 0.0
0.1732, 0.0
0.1861, 1.869e-19
0.2, 1.386e-17
0.2115, 1.418e-15
0.2236, 4.77e-14
0.2364, 2.216e-14
0.25, 2.108e-13
0.2617, 1.757e-09
0.2739, 5.051e-09
0.2866, 1.737e-07
0.3, 6.85e-07
0.314, 4.583e-05
0.3286, 0.0001059
0.344, 1.6e-05
0.36, 0.0003565
0.3785, 0.002687
0.398, 0.001042
0.4185, 0.001123
0.44, 0.0004915
0.4652, 0.0002811
0.4919, 0.001956
0.5202, 0.0002592
0.55, 0.001498
0.5842, 0.004609
0.6205, 0.002079
0.659, 0.01435
0.7, 0.02808
0.7348, 0.03062
0.7714, 0.02924
0.8097, 0.09665
0.85, 0.05009
0.8852, 0.1915
0.922, 0.203
0.9602, 0.324
1.0, 0.4831
1.036, 0.5216
1.072, 1.013
1.111, 0.7448
1.15, 1.176
1.186, 0.9648
1.223, 1.155
1.261, 0.9868
1.3, 1.372
1.39, 0.5399
1.487, 0.8663
1.59, 0.9078
1.7, 1.567
1.77, 0.6705
1.844, 0.6587
1.92, 0.8024
2.0, 0.5108
2.048, 0.551
2.098, 0.6615
2.148, 0.7261
2.2, 0.805
2.316, 0.7447
2.437, 0.3219
2.565, 0.2662
2.7, 0.2347
2.772, 0.2927
2.846, 0.2012
2.922, 0.1812
3.0, 0.208
3.118, 0.2064
3.24, 0.2263
3.368, 0.2771
3.5, 0.2313
3.619, 0.2577
3.742, 0.2367
3.869, 0.2411
4.0, 0.238
4.12, 0.1811
4.243, 0.2054
4.369, 0.1296
4.5, 0.1114
4.62, 0.1057
4.743, 0.1102
4.87, 0.117
5.0, 0.08809
5.121, 0.09723
5.244, 0.06096
5.37, 0.09125
5.5, 0.07485
5.621, 0.07848
5.745, 0.06921
5.871, 0.07412
6.0, 0.06011
6.121, 0.06282
6.245, 0.05647
6.371, 0.06611
6.5, 0.04702
6.622, 0.05063
6.745, 0.04587
6.872, 0.04545
7.0, 0.04503
7.122, 0.03908
7.246, 0.04101
7.372, 0.03812
7.5, 0.03743
7.622, 0.03654
7.746, 0.03246
7.872, 0.03644
8.0, 0.03167
8.122, 0.03338
8.246, 0.03202
8.372, 0.02779
8.5, 0.02721
8.622, 0.02967
8.746, 0.0263
8.872, 0.02807
9.0, 0.02836
9.098, 0.02732
9.198, 0.02966
9.298, 0.02532
9.4, 0.02659
9.437, 0.0278
9.475, 0.02719
9.512, 0.02739
9.55, 0.02718
9.7, 0.02676
9.85, 0.02676
10.0, 0.02508
10.5, 0.02048
11.0, 0.01875
11.3, 0.01651
11.6, 0.01419
12.0, 0.01391
13.0, 0.01057
14.0, 0.007186
15.0, 0.00673
16.0, 0.00563
17.0, 0.004978
18.0, 0.004638
19.0, 0.003623
20.0, 0.003403
22.0, 0.002383
23.0, 0.002075
24.0, 0.001757
25.0, 0.001521
26.0, 0.001311
27.0, 0.00122
28.0, 0.001194
30.0, 0.0009178
35.0, 0.000587
40.0, 0.0004231
45.0, 0.0002653
50.0, 0.000111
55.0, 8.28e-05
60.0, 6.348e-05
65.0, 4.971e-05
70.0, 3.966e-05
75.0, 3.214e-05
80.0, 2.641e-05
85.0, 2.196e-05
90.0, 1.846e-05
95.0, 1.566e-05
100.0, 1.34e-05
105.0, 1.157e-05
110.0, 1.005e-05
120.0, 7.735e-06
130.0, 6.076e-06
140.0, 4.861e-06
150.0, 3.949e-06
200.0, 1.661e-06
250.0, 8.489e-07
300.0, 4.91e-07
400.0, 2.07e-07
500.0, 1.06e-07
700.0, 3.86e-08
1000.0, 1.324e-08
1500.0, 3.922e-09
2250.0, 1.162e-09
3350.0, 3.521e-10
5000.0, 1.059e-10
7400.0, 3.266e-11
11000.0, 9.944e-12
13000.0, 6.025e-12
16000.0, 3.231e-12
24000.0, 9.575e-13
36000.0, 2.837e-13
