# 647000000000000.0
lam, flux
0.01, 0.0
0.015, 0.0
0.02, 0.0
0.03, 0.0
0.04, 0.0
0.05, 0.0
0.06, 0.0
0.08, 1.868e-15
0.1, 9.973e-12
0.12, 2.664e-09
0.15, 6.077e-07
0.2, 0.0001076
0.25, 0.001979
0.3, 0.01202
0.36, 0.04821
0.44, 0.1479
0.55, 0.3456
0.7, 0.5832
0.85, 0.7047
1.0, 0.7273
1.15, 0.6925
1.3, 0.6318
1.7, 0.4552
2.0, 0.3489
2.2, 0.293
2.7, 0.1938
3.0, 0.1541
3.5, 0.1085
4.0, 0.07913
4.5, 0.05949
5.0, 0.04594
5.5, 0.03629
6.0, 0.02925
6.5, 0.02399
7.0, 0.02002
7.5, 0.01676
8.0, 0.01505
8.5, 0.01686
9.0, 0.02217
9.4, 0.0274
9.55, 0.02835
9.7, 0.02801
9.85, 0.02759
10.0, 0.02701
10.5, 0.02174
11.0, 0.01657
11.3, 0.01416
11.6, 0.01191
12.0, 0.008991
12.5, 0.006473
13.0, 0.005609
13.5, 0.005192
14.0, 0.004896
14.5, 0.004645
15.0, 0.004484
16.0, 0.004607
17.0, 0.004895
18.0, 0.00483
19.0, 0.004356
20.0, 0.003832
22.0, 0.002686
23.0, 0.00219
24.0, 0.001799
25.0, 0.001484
26.0, 0.00125
27.0, 0.001056
28.0, 0.000909
30.0, 0.00071
35.0, 0.0004023
40.0, 0.0002538
45.0, 0.0001683
50.0, 0.0001162
55.0, 8.386e-05
60.0, 6.264e-05
65.0, 4.78e-05
70.0, 3.723e-05
75.0, 2.951e-05
80.0, 2.374e-05
85.0, 1.935e-05
90.0, 1.595e-05
95.0, 1.33e-05
100.0, 1.119e-05
105.0, 9.562e-06
110.0, 8.229e-06
120.0, 6.217e-06
130.0, 4.804e-06
140.0, 3.788e-06
150.0, 3.037e-06
200.0, 1.215e-06
250.0, 6.012e-07
300.0, 3.414e-07
400.0, 1.405e-07
500.0, 7.082e-08
700.0, 2.537e-08
1000.0, 8.595e-09
1500.0, 2.522e-09
2250.0, 7.424e-10
3350.0, 2.24e-10
5000.0, 6.717e-11
7400.0, 2.068e-11
11000.0, 6.289e-12
13000.0, 3.808e-12
16000.0, 2.042e-12
24000.0, 6.046e-13
36000.0, 1.791e-13
