# Values from mcmc blackbody fits to eruption data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# r : Stellar photospheric radius [cm]
# r_min : Lower limit of the stellar photospheric radius [cm]
# r_max : Upper limit of the stellar photospheric radius [cm]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,r,r_min,r_max
60953.38556709979,4127.408200550228,3280.4821603260284,5132.463726385654,1.2165132849728326e+38,8.782221100375614e+37,2.1015167099576827e+38,24224984043249.402,13493140775337.768,49966452668540.66
60954.278483800124,3873.653997882863,3008.4641616658128,4811.463338618105,1.505727343157547e+38,1.0239888933840402e+38,3.0591678175455e+38,30611231120455.098,16402863537715.91,72122313579893.5
60957.384629600216,3649.394122288479,2859.5751649944064,4504.504011896617,2.882149948489906e+38,1.8429813791948506e+38,6.2264930990277665e+38,47562053727226.586,25319727316810.98,113832344313334.25
60968.2161921002,5755.42570041527,5107.677949097641,6738.1189401079355,2.698017805882345e+38,2.368460931680705e+38,3.166654735408459e+38,18545452977594.04,12783259667720.432,25372759807615.81
60968.216666699846,5842.170168640809,5198.528541841303,6784.622800107008,2.698275575644255e+38,2.3813472260372884e+38,3.168385444765236e+38,17996197846038.67,12656482419293.146,24570861079856.754
60968.25251160003,5536.502997609461,4886.5417463418025,6486.384321675025,2.7621949472936757e+38,2.3708688782959926e+38,3.308413740359719e+38,20270246243530.453,13852869500604.523,28429051284126.17
60970.22025460005,8087.4906249269725,6737.382076166808,9643.404871301473,7.678146916733999e+38,6.82060545670431e+38,8.825208716494005e+38,15806974073329.465,11807693000400.387,22369462455721.57
60970.30458329991,9386.396451414099,8311.347973072452,9945.647365961642,1.0233237639914794e+39,9.418126062931282e+38,1.0983665626970158e+39,13637545559098.783,12363528325552.734,16770123164984.73
60970.30504629994,9375.291903990028,8282.743623644265,9940.659021300278,1.016357508497078e+39,9.391481902037093e+38,1.085545007469166e+39,13610844897641.156,12335202611916.553,16883881146054.662
60971.68630786985,8068.644598007477,7171.25396040966,9287.589370936466,1.60716883985091e+39,1.5071988191320816e+39,1.7569940231249577e+39,22978420178132.875,18113879464780.945,28760747656421.44
60972.30121529987,7678.522946378065,6982.448310208912,8646.939758701104,1.7627459195089394e+39,1.6952280352472665e+39,1.8466363294949238e+39,26592717152596.41,21392434201823.203,32304801032505.81
60973.76009259,8086.169105598771,7156.610530973214,9290.390156324833,2.3501169645623316e+39,2.124246029545249e+39,2.661737765207386e+39,27743626722546.56,22064939769711.16,34431499473326.754
60974.308588000014,7853.1685403213805,7162.1529765194955,8807.720023124575,2.3994302010113668e+39,2.305846414234077e+39,2.520444624739349e+39,29664508118645.977,24041393140529.92,35606469040722.0
60974.30906250002,7834.825481799149,7153.243172548434,8847.853230538862,2.3922634913239826e+39,2.309485328084167e+39,2.505396814337495e+39,29772003320715.92,23853222951998.97,35703273125032.23
60974.31651620008,7790.630034426309,7136.236718303408,8715.767125418668,2.3805315732451925e+39,2.3153961035952008e+39,2.463420364563739e+39,30027384864162.543,24373277222518.72,35931050356466.09
60974.56454860978,7632.94515680819,7098.185410032003,8330.499998174246,2.5542684508364835e+39,2.4261592183589423e+39,2.6927637016729835e+39,32433867253671.01,27736233509415.72,37369313353617.9
60975.29050929984,7410.147403878317,6946.370321889072,7973.836973820931,2.5652058192084088e+39,2.480423591262398e+39,2.6503426202952297e+39,34518418395284.79,29947358081546.62,39433808842237.84
60975.29098379984,7393.196645749958,6939.924160298587,7961.519152880414,2.5585212670345653e+39,2.4798580128274394e+39,2.6344824333516258e+39,34617752289087.43,29926977795332.105,39436405774437.766
60975.55555556016,7393.827070714203,6866.557228560118,8042.407756396474,2.5935138071765222e+39,2.4603691626758338e+39,2.740713551709625e+39,34886668978148.895,29795961030143.37,40211461451836.57
60976.24254629994,7165.773208641639,6726.077818842858,7714.007762344315,2.5685788382763048e+39,2.4763802695085562e+39,2.662865006647293e+39,36949936508181.69,31856814732089.207,42159144451736.79
60976.559340280015,7190.631758304408,6616.559515100222,7930.203247956525,2.6127445286174762e+39,2.4248802208765706e+39,2.8320458946786385e+39,36991461787919.63,31161602530573.832,43180285093305.95
60977.20040509989,6940.520602936327,6530.906929263636,7455.770726507842,2.5592989669420852e+39,2.4621547199054323e+39,2.6608665265744695e+39,39278529082632.805,34070597100067.938,44783224568499.234
60977.2008795999,6964.635947309625,6554.428820016536,7469.515978322958,2.5658223732709752e+39,2.4765312910030306e+39,2.658407075570355e+39,39063705798836.305,33875566129428.05,44547342886609.55
60977.55834490992,7124.680553113059,6642.978677457089,7724.331190210646,2.668561616297482e+39,2.5356286570055974e+39,2.802043395987807e+39,38037220494754.07,32558761416611.902,43891215572960.086
60978.34370370023,6797.995208164388,6415.182752869331,7288.984433290179,2.5704083028679036e+39,2.4793384343495493e+39,2.6664074603499298e+39,41090646537639.46,35423365297024.26,46761471469891.74
60978.557326389935,6942.947941609646,6551.090697056779,7436.658221812053,2.6454650442281375e+39,2.559046121811666e+39,2.7357920123421435e+39,39899834681984.81,34573377808302.223,45347837746257.445
