MJD,mag,magunc,filter
47800.2618,20.5000,0.4000,POSS2-R
49253.2833,19.8000,0.5000,POSS2-I
52994.0000,22.3186,0.1086,CFHT-g'
52994.0000,22.3065,0.1086,CFHT-g'
52994.0000,22.2789,0.1086,CFHT-g'
52994.0000,22.2280,0.1086,CFHT-g'
52994.0000,22.1646,0.1086,CFHT-g'
52994.0000,22.3550,0.1086,CFHT-g'
53297.0000,19.5477,0.1086,CFHT-i'
53297.0000,19.5761,0.1086,CFHT-i'
53297.0000,19.5871,0.1086,CFHT-i'
53297.0000,19.5847,0.1086,CFHT-i'
53297.0000,19.5871,0.1086,CFHT-i'
53297.0000,19.7524,0.1086,CFHT-i'
53297.0000,19.8369,0.1086,CFHT-i'
53297.0000,19.7488,0.1086,CFHT-i'
53321.0000,21.0830,0.1086,CFHT-r'
53321.0000,21.0523,0.1086,CFHT-r'
53321.0000,21.0511,0.1086,CFHT-r'
53321.0000,21.0393,0.1086,CFHT-r'
53321.0000,21.0695,0.1086,CFHT-r'
53329.0000,19.8801,0.1086,CFHT-i'
53330.0000,19.9174,0.1086,CFHT-i'
53330.0000,19.8001,0.1086,CFHT-i'
53330.0000,19.2046,0.1086,CFHT-z'
53330.0000,19.1244,0.1086,CFHT-z'
53330.0000,19.2487,0.1086,CFHT-z'
54713.0000,19.8001,0.1086,CFHT-i'
54713.0000,22.2962,0.1086,CFHT-g'
54739.0000,22.3080,0.1086,CFHT-g'
54740.0000,19.6880,0.1086,CFHT-i'
54740.0000,19.6519,0.1086,CFHT-i'
54740.0000,19.6618,0.1086,CFHT-i'
54740.0000,19.6643,0.1086,CFHT-i'
54740.0000,22.1772,0.1086,CFHT-g'
54740.0000,22.1243,0.1086,CFHT-g'
54740.0000,22.1263,0.1086,CFHT-g'
54740.0000,19.6757,0.1086,CFHT-i'
54740.0000,22.1221,0.1086,CFHT-g'
54740.0000,22.1510,0.1086,CFHT-g'
55062.0000,22.1396,0.1086,CFHT-g'
55062.0000,22.1580,0.1086,CFHT-g'
55062.0000,19.5351,0.1086,CFHT-i'
55062.0000,19.5647,0.1086,CFHT-i'
55062.0000,22.1121,0.1086,CFHT-g'
55062.0000,19.5489,0.1086,CFHT-i'
55072.9131,20.5012,0.0272,PTF-r
55101.2958,20.5144,0.0475,PTF-r
55136.0851,20.4463,0.0398,PTF-r
55174.3169,20.5316,0.0552,PS1-r
55174.3181,20.5917,0.0552,PS1-r
55175.1340,20.4311,0.0848,PTF-r
55200.2573,20.6613,0.0566,PTF-r
55378.5933,18.6692,0.0598,PS1-y
55378.6044,18.8596,0.0724,PS1-y
55384.7023,20.5968,0.0497,PTF-r
55401.5409,18.9465,0.0688,PS1-z
55401.5525,18.9881,0.0753,PS1-z
55421.2976,20.4610,0.1130,PTF-r
55442.7179,20.5924,0.0069,PTF-r
