Wav(Angstrom) "Flux density (a.d.u.)"
3057.467 1.00613e-16
3059.4138 -9.97588e-17
3061.3611 9.51699e-17
3063.3091 -3.37569e-17
3065.2578 -1.30315e-18
3067.207 2.3676e-18
3069.1567 -6.17366e-18
3071.1072 -4.22003e-17
3073.0581 3.99824e-17
3075.0098 1.59938e-16
3076.9619 -7.0334e-17
3078.9146 -1.15942e-17
3080.8679 -6.4718e-17
3082.8218 3.48667e-17
3084.7764 -7.18116e-17
3086.7314 -1.96329e-17
3088.687 2.36549e-18
3090.6433 -1.41726e-17
3092.6001 1.12748e-17
3094.5576 6.26077e-17
3096.5156 1.12365e-17
3098.4741 2.83259e-18
3100.4333 2.38093e-17
3102.3931 3.56527e-18
3104.3535 4.52502e-17
3106.3145 2.24996e-17
3108.2759 1.41728e-17
3110.2378 2.54673e-17
3112.2007 6.90676e-17
3114.1638 -4.73845e-17
3116.1277 -1.62572e-17
3118.092 2.15893e-18
3120.0569 1.28699e-17
3122.0225 -1.12582e-17
3123.9885 2.33784e-17
3125.9551 3.4068e-17
3127.9224 2.47837e-17
3129.8901 7.60012e-18
3131.8586 4.81033e-18
3133.8274 1.76634e-17
3135.7971 5.9251e-18
3137.7671 8.46971e-18
3139.7378 1.73519e-17
3141.709 2.48588e-17
3143.6807 2.50739e-17
3145.6531 6.89477e-17
3147.626 2.18176e-17
3149.5994 3.72511e-17
3151.5735 1.2609e-17
3153.5481 2.69205e-17
3155.5232 1.18868e-18
3157.4988 1.03237e-17
3159.4751 5.29747e-18
3161.4519 1.28528e-17
3163.4292 6.59614e-17
3165.407 4.81001e-19
3167.3855 2.47196e-17
3169.3647 1.7626e-17
3171.3442 3.16239e-17
3173.3245 8.38948e-18
3175.3052 2.68813e-17
3177.2864 2.06508e-17
3179.2681 -7.64098e-18
3181.2505 2.19036e-17
3183.2334 6.73451e-18
3185.2168 3.46085e-17
3187.2007 1.26953e-17
3189.1853 1.65565e-17
3191.1704 3.83956e-18
3193.156 1.21971e-17
3195.1421 1.67474e-17
3197.1289 3.21122e-17
3199.1162 -6.08975e-18
3201.104 1.60738e-17
3203.0923 1.49418e-17
3205.0813 2.18781e-17
3207.0706 1.43214e-17
3209.0605 5.30005e-18
3211.051 1.8234e-17
3213.042 2.88865e-17
3215.0337 3.0108e-17
3217.0259 6.07733e-18
3219.0186 2.87845e-17
3221.0117 2.44644e-17
3223.0054 -1.42874e-18
3224.9995 6.58559e-20
3226.9944 1.32748e-17
3228.9897 2.83165e-17
3230.9856 1.48425e-17
3232.9819 2.1369e-17
3234.979 -3.90706e-18
3236.9763 1.85003e-17
3238.9744 1.2137e-17
3240.9729 1.06111e-17
3242.9717 1.25742e-17
3244.9712 8.55958e-18
3246.9714 1.58149e-17
3248.9719 -8.74873e-18
3250.9731 2.25407e-17
3252.9749 1.96862e-17
3254.9768 1.1693e-17
3256.9795 1.34645e-17
3258.9829 1.75046e-17
3260.9866 2.96973e-17
3262.9907 4.46223e-17
3264.9956 8.65965e-18
3267.0007 6.09356e-18
3269.0066 1.38745e-19
3271.0129 1.1014e-17
3273.0198 1.54946e-17
3275.0271 2.0557e-17
3277.0349 8.95334e-18
3279.0432 1.27757e-17
3281.0522 -6.96337e-19
3283.0615 1.65161e-17
3285.0715 1.4714e-17
3287.0818 2.67549e-17
3289.0928 2.83404e-17
3291.1042 2.33527e-17
3293.1162 1.90078e-17
3295.1287 1.99023e-17
3297.1416 9.45094e-18
3299.155 1.20855e-17
3301.1689 1.40339e-17
3303.1833 4.67982e-18
3305.1985 -8.50259e-18
3307.2139 5.73341e-18
3309.2297 -1.43629e-18
3311.2463 1.25683e-17
3313.2632 1.87443e-17
3315.2808 1.29493e-17
3317.2986 1.26325e-17
3319.3171 1.08655e-17
3321.3362 1.62594e-17
3323.3557 1.00355e-17
3325.3755 2.12585e-17
3327.396 1.55625e-17
3329.417 1.55365e-17
3331.4385 1.25296e-17
3333.4602 1.738e-17
3335.4827 1.71761e-17
3337.5056 1.16099e-17
3339.5291 2.56615e-17
3341.553 1.14069e-17
3343.5774 1.3156e-17
3345.6023 1.48944e-17
3347.6277 5.48823e-18
3349.6533 1.55106e-17
3351.6797 1.10886e-17
3353.7065 1.65442e-17
3355.7339 9.46456e-18
3357.7617 1.82984e-17
3359.7898 2.27623e-17
3361.8186 2.28836e-17
3363.8479 9.40157e-18
3365.8777 7.94832e-18
3367.9077 1.22e-17
3369.9385 1.93275e-17
3371.9697 1.54734e-17
3374.0012 2.65285e-17
3376.0334 1.32963e-17
3378.0659 1.29445e-17
3380.0991 -3.11547e-19
3382.1326 1.28583e-17
3384.1665 6.71313e-18
3386.2012 6.66987e-18
3388.2361 7.20084e-18
3390.2715 1.9041e-17
3392.3074 1.25746e-17
3394.3438 1.66113e-17
3396.3806 1.29734e-17
3398.4177 1.61531e-17
3400.4556 2.26248e-17
3402.4939 7.69549e-18
3404.5327 7.55519e-18
3406.5718 1.71035e-17
3408.6113 2.31157e-17
3410.6516 6.58496e-18
3412.6919 1.677e-17
3414.7332 7.87801e-18
3416.7747 3.52671e-18
3418.8164 5.79795e-18
3420.8589 1.99062e-17
3422.9019 5.57043e-18
3424.9451 1.46742e-17
3426.989 2.08731e-17
3429.0332 1.75276e-17
3431.0779 1.23264e-17
3433.123 7.76991e-18
3435.1687 6.11021e-18
3437.2146 8.40702e-18
3439.2612 1.04213e-17
3441.3081 1.37531e-17
3443.3557 2.47053e-17
3445.4036 6.05502e-18
3447.4519 1.28313e-17
3449.5007 2.998e-18
3451.5498 5.66888e-18
3453.5996 1.27278e-17
3455.6497 1.39623e-17
3457.7002 2.22234e-17
3459.7512 1.83584e-17
3461.8027 7.04095e-18
3463.8547 1.63095e-17
3465.907 1.52646e-17
3467.96 1.24827e-17
3470.0132 1.38583e-17
3472.0669 1.77329e-17
3474.1211 1.65151e-17
3476.1755 1.20839e-17
3478.2307 1.39954e-17
3480.2859 1.56298e-17
3482.3418 3.51534e-18
3484.3982 1.16385e-17
3486.4551 1.73711e-17
3488.5122 1.07743e-17
3490.5698 6.49015e-18
3492.6279 2.04241e-17
3494.6863 4.76669e-18
3496.7454 1.19162e-17
3498.8047 8.89118e-18
3500.8645 1.13047e-17
3502.9248 1.53782e-17
3504.9856 1.48557e-17
3507.0466 5.61572e-18
3509.1082 7.06995e-18
3511.1702 9.81638e-18
3513.2324 1.47043e-17
3515.2954 1.76813e-17
3517.3584 1.07907e-17
3519.4221 1.38277e-17
3521.4861 1.83345e-17
3523.5508 1.82228e-17
3525.6157 1.385e-17
3527.6809 1.87654e-17
3529.7468 1.24602e-17
3531.813 8.06748e-18
3533.8796 1.7206e-17
3535.9468 1.81363e-17
3538.0142 1.81518e-17
3540.082 9.76619e-18
3542.1504 1.3526e-17
3544.219 9.97291e-18
3546.2881 7.0794e-18
3548.3577 1.86301e-17
3550.4277 1.3512e-17
3552.498 1.63052e-17
3554.5688 1.50632e-17
3556.6399 7.44012e-18
3558.7117 2.29849e-17
3560.7837 9.52224e-18
3562.8562 1.12405e-17
3564.929 1.25292e-17
3567.0022 1.47151e-17
3569.0757 1.5365e-17
3571.1499 1.2935e-17
3573.2244 1.34827e-17
3575.2993 1.02017e-17
3577.3745 1.49872e-17
3579.4502 1.41391e-17
3581.5264 1.76214e-17
3583.6028 2.02161e-17
3585.6797 1.54669e-17
3587.7571 1.84244e-17
3589.8347 1.0794e-17
3591.9128 1.56091e-17
3593.9912 1.10447e-17
3596.0703 6.22825e-18
3598.1494 9.61191e-18
3600.2292 1.35881e-17
3602.3093 1.34793e-17
3604.3896 7.00019e-18
3606.4707 1.72272e-17
3608.552 1.83711e-17
3610.6335 9.4244e-18
3612.7156 1.79411e-17
3614.7981 1.54897e-17
3616.8809 1.52447e-17
3618.9641 2.23737e-17
3621.0479 1.93475e-17
3623.1318 1.87768e-17
3625.2163 1.76489e-17
3627.301 1.56482e-17
3629.3862 1.21212e-17
3631.4717 9.72446e-18
3633.5576 1.37529e-17
3635.644 1.68242e-17
3637.7307 1.82587e-17
3639.8179 2.50993e-17
3641.9053 1.56544e-17
3643.9932 1.58548e-17
3646.0813 1.04694e-17
3648.1702 1.32402e-17
3650.259 6.8637e-18
3652.3484 1.89762e-17
3654.4382 8.80028e-18
3656.5283 1.57226e-17
3658.6189 1.78415e-17
3660.7097 1.43352e-17
3662.801 8.76599e-18
3664.8926 1.61478e-17
3666.9849 1.24004e-17
3669.0771 1.18763e-17
3671.1699 9.39041e-18
3673.2632 1.1094e-17
3675.3567 1.45835e-17
3677.4504 1.16782e-17
3679.5449 1.07137e-17
3681.6394 1.33569e-17
3683.7344 1.54899e-17
3685.8296 7.67386e-18
3687.9255 1.39525e-17
3690.0215 1.06057e-17
3692.1179 2.15497e-17
3694.2148 1.56687e-17
3696.312 1.69355e-17
3698.4097 1.32723e-17
3700.5076 1.2308e-17
3702.6057 1.94323e-17
3704.7046 1.81173e-17
3706.8035 1.45457e-17
3708.9028 1.89846e-17
3711.0027 1.54239e-17
3713.1025 1.71681e-17
3715.2031 8.70673e-18
3717.304 1.62698e-17
3719.405 1.22687e-17
3721.5066 1.45779e-17
3723.6084 2.02528e-17
3725.7107 1.18216e-17
3727.8132 1.38789e-17
3729.9163 1.07343e-17
3732.0193 2.49688e-17
3734.123 1.28041e-17
3736.2271 1.68918e-17
3738.3313 1.24385e-17
3740.436 3.79071e-18
3742.541 1.47497e-17
3744.6465 1.38679e-17
3746.7522 1.31567e-17
3748.8584 2.04445e-17
3750.9646 1.82284e-17
3753.0715 1.6163e-17
3755.1787 9.28708e-18
3757.2861 2.36651e-17
3759.3938 7.41767e-18
3761.502 2.00254e-17
3763.6106 1.67065e-17
3765.7192 1.26012e-17
3767.8286 1.48057e-17
3769.938 1.55356e-17
3772.0479 1.91208e-17
3774.1582 1.81087e-17
3776.2686 1.85025e-17
3778.3794 1.62609e-17
3780.4905 1.1212e-17
3782.6023 9.08631e-18
3784.7141 1.01411e-17
3786.8262 1.31755e-17
3788.9387 2.16889e-17
3791.0518 1.81993e-17
3793.1648 1.30739e-17
3795.2783 1.67258e-17
3797.3923 1.936e-17
3799.5066 1.23271e-17
3801.6211 1.83829e-17
3803.7358 1.95222e-17
3805.8511 2.2377e-17
3807.9666 1.53745e-17
3810.0825 1.53596e-17
3812.1985 1.56759e-17
3814.3149 2.15286e-17
3816.4319 1.81991e-17
3818.5491 1.79853e-17
3820.6665 2.76561e-17
3822.7842 2.29529e-17
3824.9023 1.74344e-17
3827.0208 1.35609e-17
3829.1394 1.34333e-17
3831.2585 1.58249e-17
3833.3779 1.86687e-17
3835.4978 1.29565e-17
3837.6177 1.62318e-17
3839.738 1.33686e-17
3841.8586 1.56235e-17
3843.9797 1.3493e-17
3846.1011 1.18763e-17
3848.2227 1.40231e-17
3850.3445 2.17242e-17
3852.4668 1.87841e-17
3854.5894 1.87998e-17
3856.7122 2.66342e-17
3858.8352 1.64839e-17
3860.9587 1.70377e-17
3863.0825 1.8464e-17
3865.2065 1.52283e-17
3867.3311 2.56236e-17
3869.4558 1.32621e-17
3871.5808 2.58121e-17
3873.7061 2.31709e-17
3875.8318 2.52484e-17
3877.9578 1.63002e-17
3880.084 2.54718e-17
3882.2104 1.87724e-17
3884.3374 2.63817e-17
3886.4644 1.64338e-17
3888.5918 1.18231e-17
3890.7195 1.87757e-17
3892.8477 1.77805e-17
3894.9761 1.46469e-17
3897.1047 1.21372e-17
3899.2336 1.58228e-17
3901.3628 1.8537e-17
3903.4924 2.31438e-17
3905.6223 1.42061e-17
3907.7524 2.3976e-17
3909.8828 2.19209e-17
3912.0137 2.46561e-17
3914.1445 1.52764e-17
3916.2759 1.76647e-17
3918.4075 2.22283e-17
3920.5393 2.09919e-17
3922.6716 2.12593e-17
3924.8042 1.58019e-17
3926.9368 1.6521e-17
3929.0698 1.28851e-17
3931.2031 1.99137e-17
3933.3369 1.39451e-17
3935.4707 1.49897e-17
3937.605 1.39008e-17
3939.7395 2.51833e-17
3941.8743 1.79198e-17
3944.0093 1.74743e-17
3946.1445 2.29502e-17
3948.2803 2.0164e-17
3950.4163 2.10822e-17
3952.5525 1.8105e-17
3954.6887 1.77733e-17
3956.8257 2.00275e-17
3958.9626 1.90342e-17
3961.0999 2.55392e-17
3963.2375 1.34503e-17
3965.3755 1.62792e-17
3967.5134 1.45847e-17
3969.6519 1.33761e-17
3971.7905 1.62134e-17
3973.9297 1.17308e-17
3976.0688 8.12227e-18
3978.2085 1.69123e-17
3980.3481 1.64979e-17
3982.4883 1.85364e-17
3984.6284 1.78081e-17
3986.769 2.21768e-17
3988.9099 1.58283e-17
3991.0513 1.74444e-17
3993.1926 2.30575e-17
3995.3342 2.20478e-17
3997.4763 2.82834e-17
3999.6184 2.42695e-17
4001.761 3.2148e-17
4003.9038 2.51623e-17
4006.0466 2.99041e-17
4008.1899 2.5771e-17
4010.3335 2.12131e-17
4012.4773 2.76624e-17
4014.6213 2.19836e-17
4016.7656 2.79213e-17
4018.9104 2.51135e-17
4021.0552 2.6893e-17
4023.2002 3.51827e-17
4025.3457 3.05039e-17
4027.4912 2.83e-17
4029.6372 1.45202e-17
4031.7832 2.90764e-17
4033.9297 2.27901e-17
4036.0764 2.29766e-17
4038.2234 2.20376e-17
4040.3704 2.61267e-17
4042.5178 3.16474e-17
4044.6655 2.82334e-17
4046.8135 2.26387e-17
4048.9617 1.73191e-17
4051.1101 2.37942e-17
4053.2588 1.76418e-17
4055.4077 2.53946e-17
4057.5569 2.28017e-17
4059.7063 1.30638e-17
4061.856 3.03624e-17
4064.0059 2.55309e-17
4066.156 2.75977e-17
4068.3064 2.85705e-17
4070.4573 2.82963e-17
4072.6082 3.11665e-17
4074.7593 3.0126e-17
4076.9106 2.30954e-17
4079.0623 2.8415e-17
4081.2141 2.48015e-17
4083.3662 2.62198e-17
4085.5186 2.6524e-17
4087.6711 2.65983e-17
4089.8242 2.92423e-17
4091.9773 2.80623e-17
4094.1306 2.47533e-17
4096.2842 3.06648e-17
4098.438 2.90489e-17
4100.5918 2.68982e-17
4102.7461 2.6052e-17
4104.9009 2.19984e-17
4107.0552 2.63313e-17
4109.2104 2.69726e-17
4111.3657 2.40835e-17
4113.521 2.03851e-17
4115.6768 2.93699e-17
4117.8325 2.34085e-17
4119.9888 2.06532e-17
4122.145 2.51402e-17
4124.3018 2.77745e-17
4126.4585 2.62982e-17
4128.6157 2.91939e-17
4130.7729 2.79224e-17
4132.9307 2.56048e-17
4135.0884 3.09275e-17
4137.2461 1.89362e-17
4139.4043 2.35746e-17
4141.563 2.45687e-17
4143.7212 3.04022e-17
4145.8804 2.18417e-17
4148.0396 2.6623e-17
4150.1987 3.07641e-17
4152.3584 2.43648e-17
4154.5181 2.58717e-17
4156.6782 2.67729e-17
4158.8384 2.45643e-17
4160.9985 3.26839e-17
4163.1592 2.95545e-17
4165.3203 3.03405e-17
4167.481 2.98052e-17
4169.6426 2.95194e-17
4171.8037 2.87196e-17
4173.9658 2.5564e-17
4176.1274 2.52248e-17
4178.2896 3.0887e-17
4180.4521 2.93438e-17
4182.6147 3.29625e-17
4184.7773 2.63727e-17
4186.9404 2.22133e-17
4189.1035 2.76246e-17
4191.2671 2.48244e-17
4193.4307 2.22431e-17
4195.5947 2.85414e-17
4197.7583 3.1642e-17
4199.9229 3.08102e-17
4202.0874 2.69837e-17
4204.252 3.19195e-17
4206.417 2.64032e-17
4208.582 2.03435e-17
4210.7471 2.23534e-17
4212.9126 2.56768e-17
4215.0781 2.41905e-17
4217.2441 2.46364e-17
4219.4102 2.72387e-17
4221.5767 2.14481e-17
4223.7432 2.91182e-17
4225.9097 3.45135e-17
4228.0767 2.93341e-17
4230.2441 2.68716e-17
4232.4111 2.4344e-17
4234.5786 2.45284e-17
4236.7466 2.64913e-17
4238.9141 2.35184e-17
4241.0825 2.43163e-17
4243.2505 3.13682e-17
4245.4189 2.89961e-17
4247.5879 2.8629e-17
4249.7568 2.53245e-17
4251.9258 3.44558e-17
4254.0952 2.3372e-17
4256.2642 2.76329e-17
4258.4341 2.52171e-17
4260.604 2.25725e-17
4262.7739 2.64081e-17
4264.9443 2.43578e-17
4267.1143 2.60305e-17
4269.2852 2.67889e-17
4271.4561 3.03556e-17
4273.627 2.62381e-17
4275.7979 2.99502e-17
4277.9692 2.63291e-17
4280.1411 2.69998e-17
4282.3125 3.22808e-17
4284.4844 2.86039e-17
4286.6567 3.71488e-17
4288.8286 2.83541e-17
4291.0015 1.80558e-17
4293.1738 2.56016e-17
4295.3467 2.51536e-17
4297.5195 1.94803e-17
4299.6929 2.34898e-17
4301.8662 2.59971e-17
4304.04 2.55422e-17
4306.2134 1.66055e-17
4308.3872 2.05402e-17
4310.5615 2.82471e-17
