wav,flam
3088.1492,6.06569e-17
3090.1074,-1.92947e-17
3092.0664,3.83689e-17
3094.0259,4.35347e-17
3095.9858,1.13775e-17
3097.9465,-4.23573e-17
3099.9077,4.23829e-17
3101.8696,-1.27235e-17
3103.832,7.65532e-18
3105.7949,2.74091e-17
3107.7585,-1.28223e-17
3109.7229,-5.35948e-17
3111.6875,-2.89627e-17
3113.6531,1.83903e-17
3115.6189,-4.56309e-19
3117.5854,2.5231e-17
3119.5527,5.98504e-17
3121.5205,4.33952e-18
3123.4888,-5.50713e-18
3125.4575,1.36501e-17
3127.427,-2.1827e-17
3129.3972,1.13156e-17
3131.3677,3.7619e-17
3133.3391,-2.49733e-17
3135.3108,-3.57896e-17
3137.2832,-7.6432e-18
3139.2561,-1.72943e-17
3141.2295,-2.71103e-17
3143.2036,1.41507e-17
3145.1782,2.17526e-17
3147.1536,-2.0149e-18
3149.1294,1.02232e-17
3151.1057,-1.02405e-17
3153.0825,-1.25872e-17
3155.0601,1.37295e-18
3157.0381,-4.4933e-18
3159.0168,-1.57262e-18
3160.9961,-1.76169e-17
3162.9758,-6.31776e-18
3164.9563,-8.61054e-19
3166.937,-7.04203e-18
3168.9185,1.74861e-17
3170.9004,-4.47561e-18
3172.8831,4.08179e-18
3174.8662,3.17052e-17
3176.8499,8.92588e-18
3178.8342,3.93042e-18
3180.8191,-7.24847e-18
3182.8042,2.45537e-17
3184.7903,7.46785e-19
3186.7766,-1.6964e-18
3188.7637,5.51303e-18
3190.7512,1.15621e-17
3192.7395,-8.65098e-19
3194.728,-1.68102e-17
3196.7173,-1.28513e-17
3198.707,-8.94121e-19
3200.6975,1.05813e-17
3202.6882,3.21653e-18
3204.6797,1.42554e-17
3206.6716,-3.66434e-18
3208.6641,1.17768e-17
3210.657,2.2333e-17
3212.6506,-3.19335e-18
3214.6448,6.77827e-20
3216.6394,8.75034e-18
3218.6348,-1.22036e-17
3220.6304,2.25059e-17
3222.6267,4.5606e-18
3224.6235,-1.55436e-18
3226.6208,1.41131e-18
3228.6187,6.27033e-18
3230.6172,4.84353e-18
3232.616,-1.79874e-17
3234.6155,-7.61161e-18
3236.6155,-1.82436e-19
3238.616,4.76331e-18
3240.6172,-2.753e-18
3242.6187,2.0839e-18
3244.6208,4.35734e-18
3246.6233,3.08366e-18
3248.6265,9.46355e-18
3250.6301,9.05733e-18
3252.6345,1.03503e-17
3254.6392,1.15899e-18
3256.6443,-1.05645e-18
3258.6501,-1.71954e-18
3260.6565,-1.11146e-18
3262.6633,-1.59369e-18
3264.6707,2.9733e-18
3266.6785,-6.6096e-18
3268.6868,1.27377e-17
3270.6958,-1.65864e-18
3272.7051,-1.14058e-18
3274.7151,8.94084e-18
3276.7253,-4.4631e-18
3278.7363,-5.73118e-18
3280.7478,-2.08048e-18
3282.7598,-2.95968e-18
3284.7722,-1.11635e-19
3286.7852,4.0019e-19
3288.7986,6.79931e-18
3290.8127,-2.66705e-19
3292.8271,-4.47777e-18
3294.842,6.11782e-18
3296.8577,-7.44397e-18
3298.8735,-1.54692e-18
3300.8901,1.70736e-17
3302.9072,8.1319e-18
3304.9248,3.7839e-18
3306.9426,1.23188e-17
3308.9612,5.20893e-18
3310.9802,-8.70821e-18
3312.9998,-3.39846e-18
3315.0198,5.36964e-18
3317.0403,-3.28311e-18
3319.0613,1.34601e-17
3321.0825,-2.20685e-18
3323.1045,8.66567e-19
3325.1272,-4.12234e-18
3327.1499,8.70278e-19
3329.1736,7.41776e-18
3331.1975,-1.22524e-17
3333.2217,2.98216e-19
3335.2466,-1.0486e-18
3337.2722,2.06547e-18
3339.2981,9.29057e-18
3341.3245,-1.08221e-18
3343.3513,4.75082e-18
3345.3787,-3.16219e-18
3347.4065,5.7374e-18
3349.4348,-1.50805e-18
3351.4634,-4.37996e-18
3353.4929,-4.20706e-19
3355.5225,9.0184e-18
3357.5527,1.32149e-17
3359.5835,-9.4294e-19
3361.6145,3.25328e-18
3363.6462,-3.27931e-18
3365.6785,3.94082e-18
3367.7109,4.5898e-18
3369.7441,-5.05965e-19
3371.7776,3.98947e-18
3373.8118,5.4461e-18
3375.8462,4.9984e-18
3377.8811,-3.13598e-18
3379.9165,-6.03981e-18
3381.9524,4.4911e-18
3383.9888,5.85384e-18
3386.0256,-3.53962e-18
3388.063,4.88899e-18
3390.1006,3.82109e-19
3392.1389,-5.2687e-18
3394.1777,6.84757e-18
3396.2168,7.43187e-18
3398.2563,-6.10917e-18
3400.2964,5.24575e-18
3402.3372,2.36593e-18
3404.3782,2.74586e-18
3406.4194,-4.23911e-18
3408.4614,7.68665e-19
3410.5039,4.5978e-18
3412.5466,6.64224e-19
3414.5901,-3.48414e-18
3416.6338,-8.68329e-19
3418.678,-1.47919e-18
3420.7224,-3.10738e-19
3422.7676,-1.91398e-18
3424.8132,2.47523e-18
3426.8591,5.63843e-18
3428.9058,7.14512e-19
3430.9526,5.35809e-18
3433.0,-1.03204e-18
3435.0476,-3.02052e-18
3437.0959,2.60165e-18
3439.1448,1.4689e-18
3441.1938,2.767e-18
3443.2434,4.38916e-18
3445.2935,1.32509e-18
3447.344,1.14144e-18
3449.3948,3.62302e-18
3451.4463,1.33974e-18
3453.498,-9.26844e-19
3455.5503,1.40832e-18
3457.6028,-4.67246e-18
3459.656,2.12616e-18
3461.7095,2.05515e-18
3463.7634,1.46353e-18
3465.8179,1.70779e-18
3467.8728,1.73068e-18
3469.928,3.48217e-18
3471.9839,-2.4617e-18
3474.0398,1.23143e-18
3476.0964,-3.61576e-18
3478.1536,-2.14197e-18
3480.2109,4.86474e-18
3482.2688,1.40637e-18
3484.3271,3.54185e-19
3486.386,2.94732e-18
3488.4451,-1.15077e-18
3490.5046,2.6054e-18
3492.5647,6.41458e-18
3494.625,-2.04577e-19
3496.686,2.54125e-18
3498.7473,1.52031e-18
3500.8091,-2.67222e-19
3502.8711,1.12906e-18
3504.9336,-3.7567e-18
3506.9966,2.65362e-18
3509.0601,1.32688e-18
3511.1238,-8.87466e-19
3513.188,-3.67888e-19
3515.2527,3.35099e-18
3517.3176,4.40063e-18
3519.3833,4.82983e-18
3521.4492,-1.38499e-18
3523.5154,-1.98678e-18
3525.582,5.93846e-19
3527.6492,1.87139e-19
3529.7168,5.85283e-18
3531.7847,5.48766e-18
3533.853,1.81094e-18
3535.9219,3.34177e-18
3537.9912,2.56202e-18
3540.0605,6.75627e-18
3542.1306,3.34008e-18
3544.2009,2.11927e-18
3546.2717,5.45886e-18
3548.343,8.52632e-19
3550.4148,7.39107e-19
3552.4868,6.4467e-19
3554.5591,3.59432e-18
3556.6318,3.26928e-18
3558.7051,1.87292e-18
3560.7788,3.5628e-18
3562.8528,6.90778e-18
3564.9272,-2.581e-18
3567.0022,6.57844e-19
3569.0774,4.22981e-18
3571.1528,1.88176e-18
3573.229,-9.34052e-20
3575.3054,6.23034e-18
3577.3821,-3.38802e-18
3579.4595,2.87843e-18
3581.5369,3.73094e-18
3583.615,1.47965e-18
3585.6934,2.30607e-19
3587.7722,6.35343e-18
3589.8513,6.04654e-19
3591.9309,1.60633e-18
3594.0107,3.00661e-18
3596.0911,1.58315e-18
3598.1716,1.85892e-18
3600.2527,2.52438e-18
3602.3342,2.56079e-18
3604.4163,2.55866e-18
3606.4983,3.24379e-18
3608.5811,3.62764e-18
3610.6641,6.66397e-18
3612.7476,1.20719e-18
3614.8313,-7.92565e-19
3616.9153,5.88867e-18
3619.0,3.85995e-18
3621.085,1.00825e-19
3623.1702,1.27644e-18
3625.2559,-8.30413e-19
3627.3418,-2.34464e-19
3629.4282,2.52505e-18
3631.5151,-9.7548e-20
3633.6023,3.92574e-18
3635.6899,1.87176e-18
3637.7778,2.43408e-18
3639.8662,-3.3946e-19
3641.9548,2.60594e-18
3644.0437,1.30357e-18
3646.1333,1.4717e-18
3648.2229,6.98998e-18
3650.3132,3.00007e-18
3652.4038,1.66865e-18
3654.4946,2.79519e-18
3656.5859,6.76108e-18
3658.6775,3.22605e-18
3660.7695,4.60615e-18
3662.8618,3.08391e-19
3664.9546,4.39449e-18
3667.0476,3.38349e-18
3669.1411,5.66001e-18
3671.2349,4.97536e-18
3673.3291,1.94871e-18
3675.4236,2.55424e-18
3677.5186,3.54861e-18
3679.6138,3.54817e-18
3681.7092,1.35839e-18
3683.8054,-2.8372e-19
3685.9016,4.50367e-18
3687.9983,3.09601e-18
3690.0952,5.80615e-18
3692.1926,3.2532e-18
3694.2903,3.18211e-18
3696.3884,1.24194e-18
3698.4871,3.53121e-18
3700.5857,2.06314e-18
3702.6848,1.07601e-18
3704.7844,2.98685e-18
3706.8843,5.1027e-18
3708.9846,4.743e-18
3711.0852,2.34566e-18
3713.186,4.69664e-18
3715.2871,-4.12864e-20
3717.3889,1.83647e-18
3719.4907,1.45625e-18
3721.593,3.35055e-18
3723.6958,5.48675e-18
3725.7986,2.29141e-18
3727.9021,2.47785e-18
3730.0056,6.98571e-19
3732.1096,8.12099e-20
3734.2141,1.58119e-18
3736.3186,2.46452e-18
3738.4236,1.51077e-18
3740.5291,3.92119e-18
3742.6348,2.44511e-18
3744.7407,3.1977e-18
3746.8472,1.63571e-18
3748.9539,-2.37207e-18
3751.0608,3.24835e-18
3753.1682,1.51127e-18
3755.2759,4.33327e-18
3757.384,1.59513e-18
3759.4924,3.18914e-18
3761.6013,4.58114e-18
3763.7102,4.02538e-18
3765.8196,3.33416e-18
3767.9292,7.43303e-18
3770.0393,3.29986e-18
3772.1499,4.54677e-18
3774.2605,4.71421e-18
3776.3716,3.84831e-18
3778.4829,6.69479e-18
3780.5945,1.91009e-18
3782.7065,3.83508e-18
3784.8188,-8.82936e-20
3786.9314,5.99507e-19
3789.0444,4.2872e-18
3791.1577,1.69057e-18
3793.2715,4.45402e-18
3795.3855,4.20606e-18
3797.4995,-6.11116e-19
3799.6143,4.17722e-18
3801.729,1.46223e-18
3803.8445,3.96191e-18
3805.96,2.31021e-18
3808.0757,4.26992e-18
3810.1919,4.21588e-18
3812.3086,1.08317e-18
3814.4253,2.93823e-18
3816.5425,5.5856e-18
3818.6599,7.14708e-19
3820.7776,2.94627e-18
3822.8958,1.35601e-18
3825.0142,2.84084e-18
3827.1328,4.35829e-18
3829.2517,2.9563e-18
3831.3711,1.82204e-18
3833.4907,3.7406e-18
3835.6106,5.04663e-18
3837.731,5.12541e-18
3839.8516,4.08279e-18
3841.9724,5.4931e-18
3844.0935,2.17736e-18
3846.2151,1.51999e-18
3848.3367,2.27169e-18
3850.4587,8.87236e-19
3852.5813,3.23217e-18
3854.7039,4.11106e-18
