wav,flam
3776.7,4.321e-15
3802.3,4.55e-15
3827.9,5.052e-15
3853.4,4.906e-15
3879.0,5.167e-15
3904.6,5.082e-15
3930.1,4.578e-15
3955.7,4.436e-15
3981.3,4.545e-15
4006.8,5.176e-15
4032.4,5.333e-15
4058.0,4.965e-15
4083.6,5.214e-15
4109.1,5.178e-15
4134.7,5.064e-15
4160.3,5.188e-15
4185.8,5.075e-15
4211.4,5.037e-15
4237.0,4.929e-15
4262.6,4.887e-15
4288.1,4.624e-15
4313.7,4.673e-15
4339.3,4.691e-15
4364.8,4.737e-15
4390.4,4.656e-15
4416.0,4.595e-15
4441.6,4.694e-15
4467.1,4.724e-15
4492.7,4.799e-15
4518.3,4.648e-15
4543.8,4.489e-15
4569.4,4.563e-15
4595.0,4.67e-15
4620.5,4.778e-15
4646.1,4.681e-15
4671.7,4.64e-15
4697.3,4.762e-15
4722.8,4.63e-15
4748.4,4.539e-15
4774.0,4.529e-15
4799.5,4.576e-15
4825.1,4.656e-15
4850.7,4.492e-15
4876.3,4.665e-15
4901.8,4.564e-15
4927.4,4.585e-15
4953.0,4.675e-15
4978.5,4.658e-15
5004.1,4.564e-15
5029.7,4.449e-15
5055.3,4.52e-15
5080.8,4.489e-15
5106.4,4.432e-15
5132.0,4.27e-15
5157.5,4.154e-15
5183.1,4.133e-15
5208.7,4.156e-15
5234.2,4.085e-15
5259.8,4.061e-15
5285.4,4.021e-15
5311.0,4.045e-15
5336.5,4.007e-15
5362.1,4.07e-15
5387.7,4.091e-15
5413.2,4.022e-15
5438.8,4.092e-15
5464.4,4.017e-15
5490.0,4.081e-15
5515.5,4.101e-15
5541.1,4.144e-15
5566.7,4.088e-15
5592.2,4.123e-15
5617.8,4.154e-15
5643.4,4.084e-15
5668.9,4.049e-15
5694.5,4.016e-15
5720.1,4.031e-15
5745.7,3.979e-15
5771.2,3.947e-15
5796.8,3.961e-15
5822.4,4.016e-15
5847.9,3.98e-15
5873.5,3.858e-15
5899.1,3.787e-15
5924.7,3.823e-15
5950.2,3.838e-15
5975.8,3.849e-15
6001.4,3.78e-15
6026.9,3.76e-15
6052.5,3.736e-15
6078.1,3.667e-15
6103.7,3.673e-15
6129.2,3.657e-15
6154.8,3.641e-15
6180.4,3.642e-15
6205.9,3.618e-15
6231.5,3.622e-15
6257.1,3.665e-15
6282.6,3.6e-15
6308.2,3.579e-15
6333.8,3.585e-15
6359.4,3.56e-15
6384.9,3.552e-15
6410.5,3.526e-15
6436.1,3.538e-15
6461.6,3.515e-15
6487.2,3.525e-15
6512.8,3.616e-15
6538.4,3.667e-15
6563.9,3.61e-15
6589.5,3.545e-15
6615.1,3.467e-15
6640.6,3.432e-15
6666.2,3.397e-15
6691.8,3.4e-15
6717.4,3.374e-15
6742.9,3.336e-15
6768.5,3.344e-15
6794.1,3.344e-15
6819.6,3.332e-15
6845.2,3.353e-15
6870.8,3.348e-15
6896.3,3.298e-15
6921.9,3.282e-15
6947.5,3.224e-15
6973.1,3.144e-15
6998.6,3.109e-15
7024.2,3.105e-15
7049.8,3.109e-15
7075.3,3.114e-15
7100.9,3.106e-15
7126.5,3.095e-15
7152.1,3.084e-15
7177.6,3.075e-15
7203.2,3.037e-15
7228.8,2.989e-15
7254.3,2.983e-15
7279.9,2.974e-15
7305.5,2.954e-15
7331.1,2.975e-15
7356.6,2.997e-15
7382.2,2.989e-15
7407.8,2.955e-15
7433.3,2.927e-15
7458.9,2.933e-15
7484.5,2.938e-15
7510.0,2.918e-15
7535.6,2.935e-15
7561.2,2.95e-15
7586.8,2.916e-15
7612.3,2.867e-15
7637.9,2.832e-15
7663.5,2.791e-15
7689.0,2.783e-15
7714.6,2.772e-15
7740.2,2.746e-15
7765.8,2.751e-15
7791.3,2.761e-15
7816.9,2.746e-15
7842.5,2.722e-15
7868.0,2.698e-15
7893.6,2.687e-15
7919.2,2.689e-15
7944.7,2.678e-15
7970.3,2.654e-15
7995.9,2.609e-15
8021.5,2.578e-15
8047.0,2.568e-15
8072.6,2.557e-15
8098.2,2.541e-15
8123.7,2.526e-15
8149.3,2.494e-15
8174.9,2.465e-15
8200.5,2.459e-15
8226.0,2.463e-15
8251.6,2.46e-15
8277.2,2.477e-15
8302.7,2.487e-15
8328.3,2.486e-15
8353.9,2.515e-15
8379.5,2.539e-15
8405.0,2.534e-15
8430.6,2.522e-15
8456.2,2.522e-15
8481.7,2.532e-15
8507.3,2.526e-15
8532.9,2.518e-15
8558.4,2.522e-15
8584.0,2.517e-15
8609.6,2.496e-15
8635.2,2.474e-15
8660.7,2.463e-15
8686.3,2.462e-15
8711.9,2.459e-15
8737.4,2.449e-15
8763.0,2.452e-15
8788.6,2.452e-15
8814.2,2.435e-15
8839.7,2.409e-15
8865.3,2.384e-15
8890.9,2.362e-15
8916.4,2.354e-15
8942.0,2.362e-15
8967.6,2.353e-15
8993.2,2.311e-15
9018.7,2.254e-15
9044.3,2.215e-15
9069.9,2.195e-15
9095.4,2.182e-15
9121.0,2.187e-15
9146.6,2.185e-15
9172.1,2.167e-15
9197.7,2.144e-15
9223.3,2.108e-15
