wav,flam
5258.041094000402,357.4832
5258.7942694310905,342.9896
5259.493739483174,312.7036
5260.091299328928,299.5589
5260.746164913862,314.7784
5261.4865390625,322.4371
5262.0840989082535,330.7137
5262.6815587439905,337.5138
5263.2790185797285,331.8243
5263.876578425481,314.2455
5264.474038261218,302.5805
5265.071598106971,292.3532
5265.6690579427095,304.0572
5266.266617788462,323.8182
5266.863977614184,335.3347
5267.461737479968,338.5358
5268.05909730569,340.2692
5268.65675716146,332.7734
5269.254317007212,337.6562
5269.851876852965,323.7864
5270.449336688703,316.3283
5271.047096554487,316.8193
5271.644556390224,326.954
5272.242216245995,349.2265
5272.839776091748,352.2383
5273.4373359375,347.5268
5274.034995793269,343.4185
5274.632655649039,335.5296
5275.230215494792,337.2365
5275.827875350561,347.5903
5276.4254351963145,354.4313
5277.0231950621,357.7707
5277.620754907854,362.7653
5278.218314753606,351.8709
5278.815974609375,344.4542
5279.413734475161,341.3643
5280.01139433093,345.9061
5280.609054186699,369.8964
5281.206814052483,379.9058
5281.804373898239,371.7636
5282.402033754007,368.2579
5282.999793619792,364.3768
5283.597553485578,363.5653
5284.195213341347,367.0022
5284.7929732071325,364.3918
5285.390633062901,362.9526
5285.988392928686,358.0205
5286.586152794472,347.6018
5287.323026592549,350.1713
5287.974291816907,340.8022
5288.674461939104,338.2858
5289.3741320112185,349.279
5290.02959765625,355.328
5290.770571864985,361.3294
5291.36833173077,355.7429
5291.966091596555,350.6711
5292.563951472357,349.0407
5293.161811348157,343.6872
5293.759571213943,355.5074
5294.35753109976,355.6413
5294.955190955529,361.1294
5295.553050831331,365.7764
5296.1509107071315,347.6835
5296.7487705829335,348.8798
5297.34673046875,351.4746
5297.944490334535,339.9847
5298.542350210337,354.0647
5299.140210086138,366.9164
5299.73806996194,373.379
5300.336029847756,363.158
5300.933889723558,354.7698
5301.5319496193915,358.8598
5302.129709485176,352.5076
5302.727569360978,359.2501
5303.325529246795,355.3208
5303.923489132613,359.6775
5304.52144901843,366.0465
5305.119408904247,357.2747
5305.717368790064,353.6606
5306.3153286758825,345.1215
5306.913288561699,347.5392
5307.511248447517,344.4528
5308.109208333333,336.9346
5308.707168219152,334.1696
5309.305028094952,340.229
5309.9031880008015,353.8269
5310.501147886619,337.0107
5311.099207782452,325.033
5311.697267678286,314.7916
5312.295227564104,346.842
5312.893287459937,355.024
5313.49134735577,351.5585
5314.089407251603,351.0454
5314.687467147436,351.803
5315.285527043269,348.5547
5315.883586939103,355.9967
5316.481646834936,350.239
5317.079706730769,352.5376
5317.817280598959,333.0796
5318.4686458333335,335.5207
5319.16931600561,335.646
5319.869586137822,335.4658
5320.525251802886,337.694
5321.2664260316515,351.6433
5321.864585937501,348.6195
5322.462645833334,325.0549
5323.060905749199,325.5192
5323.659065655049,329.4191
5324.25792563101,353.059
