wav,flam
3600.26057499,1.03716123
3601.28737547,1.00448316
3602.31417595,1.30329108
3603.34097642,1.1499019
3604.3677769,0.98603394
3605.39457738,0.92446204
3606.42137786,0.84626801
3607.44817833,0.93097296
3608.47497881,0.95731941
3609.50177929,1.11425291
3610.52857976,0.95526307
3611.55538024,0.86593013
3612.58218072,1.02384721
3613.6089812,1.28958448
3614.63578167,1.03109591
3615.66258215,1.38394907
3616.68938263,1.25948764
3617.7161831,1.12945374
3618.74298358,0.83698565
3619.76978406,0.99232025
3620.79658454,1.10541659
3621.82338501,1.09886518
3622.85018549,1.09414556
3623.87698597,0.71815672
3624.90378645,1.0031347
3625.93058692,1.1704581
3626.9573874,1.15558266
3627.98418788,1.02194159
3629.01098835,1.31149754
3630.03778883,1.31247786
3631.06458931,1.18482477
3632.09138979,1.25741895
3633.11819026,1.02187678
3634.14499074,1.26942035
3635.17179122,1.23982703
3636.1985917,1.17200774
3637.22539217,1.19447909
3638.25219265,1.08924219
3639.27899313,0.99656186
3640.3057936,1.12837678
3641.33259408,0.98758064
3642.35939456,0.90806892
3643.38619504,0.85000624
3644.41299551,0.84590683
3645.43979599,1.14223718
3646.46659647,1.39436537
3647.49339695,1.25805407
3648.52019742,1.31915085
3649.5469979,1.23499811
3650.57379838,0.98796607
3651.60059885,1.28515729
3652.62739933,1.29582941
3653.65419981,1.12312069
3654.68100029,1.01770361
3655.70780076,1.23912773
3656.73460124,1.55857595
3657.76140172,1.18438581
3658.7882022,1.68659355
3659.81500267,1.62450315
3660.84180315,1.04376835
3661.86860363,0.85155889
3662.8954041,1.14539688
3663.92220458,1.10720526
3664.94900506,1.08131274
3665.97580554,0.90735339
3667.00260601,1.29430234
3668.02940649,1.42557063
3669.05620697,1.47900094
3670.08300745,1.18723553
3671.10980792,1.36274534
3672.1366084,1.41510984
3673.16340888,1.12147767
3674.19020935,1.22096963
3675.21700983,1.37120186
3676.24381031,1.63854217
3677.27061079,1.31593788
3678.29741126,0.97000276
3679.32421174,0.9741456
3680.35101222,0.98786912
3681.3778127,1.22367833
3682.40461317,1.82165841
3683.43141365,1.4848731
3684.45821413,1.45994348
3685.4850146,1.4605504
3686.51181508,1.37902026
3687.53861556,1.51279557
3688.56541604,1.30544563
3689.59221651,1.31066788
3690.61901699,1.32842751
3691.64581747,1.6328297
3692.67261795,1.57789437
3693.69941842,1.54988779
3694.7262189,1.77494823
3695.75301938,1.60273173
3696.77981985,1.25205205
3697.80662033,1.48951763
3698.83342081,1.58429649
3699.86022129,1.42314031
3700.88702176,1.37329387
3701.91382224,1.72666296
3702.94062272,1.48853668
3703.9674232,1.05952177
3704.99422367,1.28273751
3706.02102415,1.45802796
3707.04782463,1.43740508
3708.0746251,1.40972577
3709.10142558,1.42831293
3710.12822606,1.51974307
3711.15502654,1.5996332
3712.18182701,1.4540361
3713.20862749,1.45827878
3714.23542797,1.21495996
3715.26222845,1.59714135
3716.28902892,1.3387147
3717.3158294,1.15842285
3718.34262988,1.37329086
3719.36943035,1.71045196
3720.39623083,1.7335177
3721.42303131,1.41559104
3722.44983179,1.30124946
3723.47663226,1.54977072
3724.50343274,1.70010912
3725.53023322,1.78281563
3726.55703369,1.33513685
3727.58383417,1.30659592
3728.61063465,1.22584166
3729.63743513,1.23396076
3730.6642356,1.5549417
3731.69103608,1.46967778
3732.71783656,1.56509076
3733.74463704,1.53844567
3734.77143751,1.51742607
3735.79823799,1.69958405
3736.82503847,1.56818302
3737.85183894,1.58600946
3738.87863942,1.45837554
3739.9054399,1.43786898
3740.93224038,1.18676899
3741.95904085,1.27976131
3742.98584133,1.25748613
3744.01264181,1.42591558
3745.03944229,1.39623777
3746.06624276,1.31443638
3747.09304324,1.49639481
3748.11984372,1.52508502
3749.14664419,1.7023904
3750.17344467,1.5802659
3751.20024515,1.34146489
3752.22704563,1.10435504
3753.2538461,1.08185286
3754.28064658,1.13579858
3755.30744706,1.20411185
3756.33424754,1.36531027
3757.36104801,1.45188217
3758.38784849,1.77882853
3759.41464897,1.52736743
3760.44144944,1.48957103
3761.46824992,1.38678839
3762.4950504,1.35486202
3763.52185088,1.38102089
3764.54865135,1.58467905
3765.57545183,1.73127477
3766.60225231,1.58132807
3767.62905279,1.44935033
3768.65585326,1.2677495
3769.68265374,1.57003336
3770.70945422,1.75193125
3771.73625469,1.73513791
3772.76305517,1.7300291
3773.78985565,2.06560859
3774.81665613,1.72914817
3775.8434566,1.5220439
3776.87025708,1.80302325
3777.89705756,1.61243444
3778.92385804,1.63890705
3779.95065851,1.63210583
3780.97745899,1.41195215
3782.00425947,1.83485799
3783.03105994,1.66465441
3784.05786042,1.61567974
3785.0846609,1.83314942
3786.11146138,1.84942571
3787.13826185,1.48487636
3788.16506233,1.51689197
3789.19186281,1.46371637
3790.21866329,1.69121426
3791.24546376,1.55322297
3792.27226424,1.5162467
3793.29906472,1.56250953
3794.32586519,1.56104688
3795.35266567,1.47877895
3796.37946615,1.61245763
3797.40626663,1.95659718
3798.4330671,2.09221633
3799.45986758,2.02242975
3800.48666806,1.55434832
3801.51346854,1.62975649
3802.54026901,1.90051671
3803.56706949,1.84764932
3804.59386997,1.95993625
3805.62067044,1.79849817
3806.64747092,1.60466205
3807.6742714,1.52767064
3808.70107188,1.52924861
3809.72787235,1.8166559
3810.75467283,1.73282792
3811.78147331,1.81304872
3812.80827379,1.96029248
3813.83507426,1.86582648
3814.86187474,1.68114668
3815.88867522,1.79410194
3816.91547569,1.82811644
3817.94227617,1.67029068
3818.96907665,1.67544762
3819.99587713,1.50792617
3821.0226776,1.46606057
3822.04947808,1.37376003
3823.07627856,1.68984449
3824.10307903,1.6008577
3825.12987951,1.62932455
3826.15667999,1.58943915
3827.18348047,1.50248758
3828.21028094,1.56583267
3829.23708142,1.67875422
3830.2638819,1.42400118
3831.29068238,1.52523832
3832.31748285,1.49245208
3833.34428333,1.45067071
3834.37108381,1.51042781
3835.39788428,1.62714768
3836.42468476,1.76360438
3837.45148524,1.91210987
3838.47828572,1.81739167
3839.50508619,1.63742171
3840.53188667,1.76933114
3841.55868715,1.45288092
3842.58548763,1.43828136
3843.6122881,1.65054984
3844.63908858,1.63367026
3845.66588906,1.70061138
3846.69268953,1.79038434
3847.71949001,1.7118903
3848.74629049,1.51908112
3849.77309097,1.67561847
3850.79989144,1.71735734
3851.82669192,1.74666476
3852.8534924,1.83444398
3853.88029288,1.59005233
3854.90709335,1.74817742
3855.93389383,1.56742318
3856.96069431,1.74479085
3857.98749478,1.82791313
3859.01429526,1.9164354
3860.04109574,1.8428446
3861.06789622,1.98937866
3862.09469669,2.03682938
3863.12149717,1.77461468
3864.14829765,1.7705767
3865.17509813,1.78513501
3866.2018986,1.61165492
3867.22869908,1.53400106
3868.25549956,1.64134689
3869.28230003,1.71290609
3870.30910051,1.70635406
3871.33590099,1.55039794
3872.36270147,1.74240579
3873.38950194,1.69900746
3874.41630242,1.97468434
3875.4431029,1.85807615
3876.46990338,1.85698001
3877.49670385,1.61157733
3878.52350433,1.65744795
3879.55030481,1.84796068
3880.57710528,2.07282245
3881.60390576,2.32726764
3882.63070624,2.19840998
3883.65750672,1.73284622
3884.68430719,1.59233675
3885.71110767,1.77626009
3886.73790815,1.9287083
3887.76470863,1.81936435
3888.7915091,1.70809836
3889.81830958,1.64168896
3890.84511006,1.66298294
3891.87191053,1.57829761
3892.89871101,1.36728822
3893.92551149,1.50723703
3894.95231197,1.53983387
3895.97911244,1.63960961
3897.00591292,1.73988999
3898.0327134,1.82558297
3899.05951388,1.76884794
3900.08631435,1.65947754
3901.11311483,1.53465236
3902.13991531,1.71941275
3903.16671578,1.80385579
3904.19351626,1.81252678
3905.22031674,1.53339803
3906.24711722,1.61495763
3907.27391769,1.43499231
3908.30071817,1.51331551
3909.32751865,1.29085196
3910.35431913,1.48258906
3911.3811196,1.49918787
3912.40792008,1.53559006
3913.43472056,1.32303755
3914.46152103,1.18944837
3915.48832151,1.10893577
3916.51512199,1.2389644
3917.54192247,1.28578402
3918.56872294,1.09386116
3919.59552342,1.18329067
3920.6223239,1.05200094
3921.64912437,0.88488417
3922.67592485,0.85774548
3923.70272533,0.73003874
3924.72952581,0.58599773
3925.75632628,0.80121269
3926.78312676,0.52367645
3927.80992724,0.37774151
3928.83672772,0.33955231
3929.86352819,0.57187129
3930.89032867,0.66988298
3931.91712915,0.5788745
3932.94392962,0.70989254
3933.9707301,0.98670962
3934.99753058,1.09858867
3936.02433106,0.97133192
3937.05113153,1.13891829
3938.07793201,1.17009385
3939.10473249,1.17659612
3940.13153297,1.26215122
3941.15833344,1.30844852
3942.18513392,1.44974792
3943.2119344,1.41423192
3944.23873487,1.46996168
3945.26553535,1.38551601
3946.29233583,1.40930636
3947.31913631,1.66041988
3948.34593678,1.47193963
3949.37273726,1.32830994
3950.39953774,1.37404556
3951.42633822,1.36506961
3952.45313869,1.35020883
3953.47993917,1.38312631
3954.50673965,1.30802899
3955.53354012,1.25127077
3956.5603406,1.02358605
3957.58714108,0.986509
3958.61394156,0.90290508
3959.64074203,0.74954179
3960.66754251,0.65318177
3961.69434299,0.54693039
3962.72114347,0.59748798
3963.74794394,0.57681301
3964.77474442,0.74772078
3965.8015449,0.80316513
3966.82834537,0.88747593
3967.85514585,1.11792414
3968.88194633,1.07545237
3969.90874681,1.38899446
3970.93554728,1.60016316
3971.96234776,1.57907261
3972.98914824,1.65082899
3974.01594872,1.67011444
3975.04274919,1.74677657
3976.06954967,1.79466412
3977.09635015,1.82073124
3978.12315062,1.7811241
3979.1499511,1.87990799
3980.17675158,1.86820177
3981.20355206,1.65497076
3982.23035253,1.83681526
3983.25715301,1.97550397
3984.28395349,1.88883907
3985.31075397,1.94594436
3986.33755444,1.90364168
3987.36435492,1.96169233
3988.3911554,1.92882537
3989.41795587,1.84960759
3990.44475635,1.80292811
3991.47155683,1.75275552
3992.49835731,1.88560291
3993.52515778,1.94051354
3994.55195826,1.93966032
3995.57875874,2.01215134
3996.60555922,1.97249005
3997.63235969,1.79456284
3998.65916017,1.88482677
3999.68596065,1.88920507
4000.71276112,2.09473213
4001.7395616,2.24167932
4002.76636208,2.27854529
4003.79316256,2.16760444
4004.81996303,1.93634281
4005.84676351,2.07224912
4006.87356399,2.19604297
4007.90036447,2.18238036
4008.92716494,2.28582006
4009.95396542,2.18287698
4010.9807659,2.2180375
4012.00756637,2.17668343
4013.03436685,2.34514409
4014.06116733,2.23846848
4015.08796781,2.17593061
4016.11476828,2.10116909
4017.14156876,2.1092032
4018.16836924,2.25506165
4019.19516971,2.37145902
4020.22197019,2.21449325
4021.24877067,2.23743113
4022.27557115,2.07942111
4023.30237162,1.84946532
4024.3291721,1.91817255
4025.35597258,2.02419586
4026.38277306,1.99547456
4027.40957353,2.17000004
4028.43637401,2.42282213
4029.46317449,2.17627581
4030.48997496,2.21185574
4031.51677544,2.1486583
4032.54357592,2.17524823
4033.5703764,2.19881635
4034.59717687,2.09976799
4035.62397735,2.01531329
4036.65077783,1.9839783
4037.67757831,2.00405493
4038.70437878,2.22423957
4039.73117926,2.11137593
4040.75797974,2.11306584
4041.78478021,2.11003951
4042.81158069,2.12873747
4043.83838117,2.06549679
4044.86518165,2.06243122
4045.89198212,2.02126279
4046.9187826,2.01040591
4047.94558308,2.1347435
4048.97238356,2.21306105
4049.99918403,2.2604733
4051.02598451,2.28423244
4052.05278499,2.28699078
4053.07958546,2.32236815
4054.10638594,2.44844741
4055.13318642,2.2419453
4056.1599869,2.2412346
4057.18678737,2.19927386
4058.21358785,2.31522474
4059.24038833,2.23775101
4060.26718881,2.26469993
4061.29398928,2.23972018
4062.32078976,2.20720193
4063.34759024,2.14171068
4064.37439071,2.06715422
4065.40119119,2.00233507
4066.42799167,1.97998405
4067.45479215,2.00458789
4068.48159262,1.9479544
4069.5083931,1.91867581
4070.53519358,1.84358451
4071.56199406,1.77518312
4072.58879453,1.82179654
4073.61559501,2.02449506
4074.64239549,2.07798804
4075.66919596,2.12879488
4076.69599644,2.16187317
4077.72279692,2.11821125
4078.7495974,2.11875274
4079.77639787,2.24287135
4080.80319835,2.38177366
4081.82999883,2.39444353
4082.85679931,2.50876568
4083.88359978,2.59898599
4084.91040026,2.58306217
4085.93720074,2.71727682
4086.96400121,2.70061922
4087.99080169,2.68681774
4089.01760217,2.54101444
4090.04440265,2.5868165
4091.07120312,2.69200627
4092.0980036,2.95188905
4093.12480408,2.96762812
4094.15160456,3.11219626
4095.17840503,2.89334792
4096.20520551,2.5874515
4097.23200599,2.73974516
4098.25880646,2.59200428
4099.28560694,2.37715093
4100.31240742,2.36002831
4101.3392079,2.31123225
4102.36600837,2.2969141
4103.39280885,2.29139641
