wav,flam
5579.541207690767,
5580.04115762067,
5580.641097536552,
5581.241037452433,
5581.840977368315,
5582.440917284198,
5583.040857200081,
5583.540807129983,
5584.140747045864,
5584.740686961747,
5585.340626877629,
5585.940566793511,
5586.540506709393,
5587.140446625275,
5587.640396555177,
5588.24033647106,
5588.840276386942,
5589.440216302824,
5590.040156218707,
5590.640096134588,
5591.14004606449,
5591.739985980373,
5592.3399258962545,
5592.939865812137,
5593.53980572802,
5594.139745643902,
5594.7396855597835,
5595.2396354896855,
5595.839575405567,
5596.439515321451,
5597.039455237333,
5597.6393951532145,
5598.239335069097,
5598.739284998998,
5599.33922491488,
5599.939164830763,
5600.539104746646,
5601.139044662527,
5601.73898457841,
5602.338924494292,
5602.838874424194,
5603.438814340076,
5604.038754255958,
5604.63869417184,
5605.238634087724,
5605.838574003605,
5606.338523933507,
5606.938463849389,
5607.538403765271,
5608.138343681153,
5608.738283597036,
5609.338223512918,
5609.838173442819,
5610.438113358702,
5611.038053274585,
5611.637993190467,
5612.2379331063485,
5612.83787302223,
5613.437812938114,
5613.937762868015,
5614.537702783898,
5615.1376426997795,
5615.737582615662,
5616.337522531544,247.42
5616.937462447426,255.76
5617.437412377329,29.699
5618.037352293211,398.41
5618.637292209092,172.08
5619.237232124975,-26.367
5619.837172040857,96.844
5620.4371119567395,128.0
5621.037051872622,33.285
5621.537001802524,182.96
5622.136941718406,412.83
5622.736881634289,-74.064
5623.33682155017,100.62
5623.936761466052,267.31
5624.536701381935,219.26
5625.036651311837,512.49
5625.636591227719,81.5
5626.2365311436015,416.39
5626.836471059483,-16.591
5627.436410975365,528.48
5628.036350891248,629.66
5628.63629080713,610.71
5629.1362407370325,318.67
5629.736180652914,455.99
5630.336120568796,472.95
5630.936060484679,200.25
5631.5360004005615,226.2
5632.135940316442,641.1
5632.735880232325,198.34
5633.235830162228,398.92
5633.835770078109,31.591
5634.435709993992,302.92
5635.035649909874,119.32
5635.635589825756,598.62
5636.235529741639,75.061
5636.73547967154,355.0
5637.335419587423,70.242
5637.935359503305,180.69
5638.535299419187,231.46
5639.135239335069,320.62
5639.735179250952,419.23
5640.3351191668335,318.22
5640.8350690967345,385.02
5641.435009012618,394.21
5642.034948928501,408.1
5642.634888844383,440.07
5643.2348287602645,186.05
5643.834768676146,507.78
5644.334718606048,203.99
5644.93465852193,351.63
5645.534598437813,67.314
5646.1345383536955,-59.441
5646.734478269578,130.97
5647.33441818546,24.253
5647.934358101342,186.43
5648.434308031244,249.47
5649.0342479471265,212.38
5649.634187863007,31.94
5650.234127778891,257.33
5650.834067694773,406.08
5651.4340076106555,387.86
5651.933957540557,256.6
5652.533897456439,211.59
5653.133837372321,309.5
5653.733777288204,237.04
5654.333717204086,100.48
5654.933657119968,216.81
5655.533597035851,171.76
5656.033546965752,301.69
5656.633486881634,180.43
5657.233426797517,264.48
5657.833366713398,254.57
5658.43330662928,130.51
5659.033246545164,268.72
5659.633186461046,319.01
5660.133136390947,243.25
5660.733076306829,213.03
5661.333016222711,313.07
5661.932956138594,204.94
5662.532896054477,221.23
5663.132835970358,334.21
5663.63278590026,272.63
5664.232725816143,200.85
5664.832665732024,212.23
5665.432605647907,258.92
5666.032545563789,98.88
5666.632485479671,182.54
5667.232425395555,191.98
5667.732375325456,276.1
5668.332315241338,168.96
5668.93225515722,345.73
5669.532195073102,190.75
5670.132134988984,147.3
5670.732074904867,256.56
5671.332014820749,149.94
5671.8319647506505,259.95
5672.431904666533,318.48
5673.031844582416,251.27
5673.631784498298,109.22
5674.23172441418,262.86
5674.831664330061,234.05
5675.331614259964,224.04
5675.931554175846,308.29
5676.531494091729,229.55
5677.131434007611,302.5
5677.731373923493,247.84
5678.331313839374,249.06
5678.931253755257,342.39
5679.43120368516,336.25
5680.0311436010425,296.56
5680.631083516923,264.95
5681.231023432806,231.2
5681.830963348688,339.35
5682.430903264571,313.3
5683.030843180452,369.44
5683.530793110355,239.49
5684.130733026237,216.96
